SK;76,03;29;65,52;44;64,84;25;80,53;17;80,85;27;88,39;48;
SV;44,01;133;29,21;150;42,23;101;50,3;122;49,27;128;49,04;127;
BH;23,21;173;17,46;171;20,92;174;19,81;175;20,7;175;37,15;150;
GY;60,1;77;44,93;103;46,61;77;60,46;94;65,18;76;83,33;69;
IQ;25,48;169;20,65;162;22,14;173;26,44;170;29,46;167;28,69;163;
BD;27,64;165;19,36;167;27,83;167;31,32;158;32,65;157;27,03;167;
KH;34,28;151;20,21;163;27,55;168;36,32;152;32,54;158;54,8;122;
NI;29,2;163;17,23;172;34,03;145;30,34;163;36,64;152;27,77;164;
MN;51,34;109;40,35;118;32,75;151;56,31;107;61,31;91;65,96;105;
SS;42,57;136;31,34;144;43,75;91;52,04;116;48,21;130;37,52;148;
XK;60,19;75;56,61;59;48,05;71;73,92;44;67,56;67;54,81;121;
EG;25,1;170;16,1;174;24,69;170;29,81;164;27,62;171;27,27;166;
UZ;37,27;148;28,02;152;34,49;143;43,59;137;37,96;145;42,28;136;
LB;41,91;140;45,03;102;34,82;141;45,6;133;42,18;141;41,92;138;
GE;53,05;103;36,23;127;39,93;114;67,31;72;60,45;93;61,35;110;
EC;51,3;110;39,57;120;43,33;94;60,77;92;47,38;136;65,48;106;
BF;58,24;86;47,94;92;54,89;47;62,8;84;63,92;79;61,64;108;
SY;17,41;179;14,35;177;19,69;177;23,75;171;17,72;177;11,55;180;
HU;62,98;67;38,55;124;48,23;68;67,88;67;74,29;46;85,97;58;
DK;89,6;2;94,11;2;83,07;4;88,82;3;86,9;5;95,09;5;
TT;76,69;25;66,97;39;66,76;20;71,26;53;86,41;8;92,06;24;
SE;88,32;3;91,03;4;85,5;2;90,16;1;82,78;20;92,12;22;
CD;48,91;123;46,52;97;42,29;99;51,54;117;65,83;73;38,34;147;
LY;40,59;143;40,5;117;37,27;125;44,23;136;36,77;151;44,16;133;
CN;23,36;172;19,14;168;29,65;163;22,28;172;21,79;173;23,93;172;
GN;59,97;78;49,28;83;50;57;64,58;77;69,05;62;66,95;103;
TW;76,13;27;74,7;24;56,77;41;80,05;23;76,39;38;92,76;16;
ES;76,01;30;68,96;31;59,72;36;81,73;14;79,56;30;90,08;33;
NL;87,73;4;88,41;7;84,09;3;87,59;4;87,34;4;91,23;28;
LR;65,13;60;54,87;64;45,98;80;73,08;45;71,43;55;80,27;78;
YE;33,67;154;33,91;135;28,33;166;40;144;31,43;159;34,67;154;
AM;71,6;43;63,13;47;48,18;70;78,25;30;78,57;33;89,88;34;
MX;49,01;121;49,69;81;42,11;102;67,99;65;57,99;104;27,28;165;
TD;54,81;96;48,73;86;43,49;93;61,06;91;63,1;84;57,67;114;
EE;86,44;6;86,88;10;76,77;8;83,65;12;90;2;94,88;6;
MT;60,96;73;45,35;99;49,57;61;60,1;95;61,9;88;87,9;53;
PT;85,9;7;91,51;3;72,92;10;83,79;10;88,27;3;93,03;15;
JM;77,3;24;66,39;43;70,31;17;72,6;49;84,97;13;92,25;20;
